Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,,243.3246377,250.9333333,258.173913,265.0536232,271.6391304,277.942029,284.1492754,290.8014493,298.6130435,308.1231884,319.2927536,332.1086957,347.1405797,365.0884058,386.2942029,411.2347826,439.384058,468.8014493,496.8086957,521.5768116,542.2028986,559.3478261,574.5710145,590.184058,607.8695652,628.2347826,650.6855072,674.2057971,697.2318841,718.7405797,738.7898551,736.7422535,755.2295775,774.0676056,793.9422535,815.0253521,837.9295775,864.3690141,896.5422535,936.0760563,982.4633803,1035.419718,1081.543056,1136.778082,1201.578378,1295.154054,1381.188,1466.565789,1559.248684,1628.427887,1666.582856,1688.593506,1708.325974,1733.329477,1763.309699,1831.83926,1918.488357,
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,,11.4993007,12.0962038,12.72057942,13.35644356,13.99140859,14.62197802,15.24565435,15.84685315,16.40839161,16.91848152,17.36893107,17.76613387,18.13066933,18.49140859,18.86933067,19.27092907,19.69140859,20.13116883,20.58261738,21.04505495,21.51808192,22.00549451,22.4962038,22.97852148,23.44525475,23.88921079,24.31498501,24.73316683,25.15974026,25.60799201,26.08551449,26.58681319,27.08941059,27.56193806,27.98701299,28.35064935,28.66833167,28.97702298,29.32787213,29.75924076,30.28321678,30.88481518,31.54305694,32.22037962,32.89200799,33.54945055,34.1986014,34.83276723,35.45014985,36.04715285,36.62017982,37.16673327,37.68631369,38.17872128,38.64515485,39.08411588,39.4966034,
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,,64.23050781,65.49269531,66.74949219,67.94912109,69.05546875,70.05144531,70.95056641,71.78617188,72.60675781,73.44779297,74.32197266,75.21779297,76.11826172,76.99654297,77.83404297,78.61845703,79.35919922,80.08496094,80.83630859,81.63779297,82.47091797,83.30683594,84.14269531,84.97550781,85.78378906,86.6309375,87.47107422,88.04796875,88.02056641,87.17621094,85.38287109,82.79597656,79.84373047,77.1253125,75.0725,73.83550781,73.28966797,73.25166016,73.42027344,73.56847656,73.65789063,73.74623047,73.81341797,73.85326172,73.85800781,73.81773438,73.7109375,73.50779297,73.17501953,72.69695313,72.04814453,71.25390625,70.41013672,69.64847656,69.06173828,68.6878125,68.49642578,
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,,40.77704595,41.17495563,41.59550385,42.02437389,42.44724906,42.87367383,43.31319266,43.75148886,44.17424571,44.56714652,44.93973575,45.30155788,45.63829619,45.935634,46.17925458,46.39617432,46.65253402,46.95819365,47.2490633,47.53993295,47.87024256,48.19562217,48.52593177,48.85624137,49.17669099,49.51193059,49.84717018,49.99014001,50.13803983,50.23170972,50.25635969,50.36481956,50.47820943,50.4190495,50.25635969,50.08873989,49.87675015,49.64011043,49.43175902,49.19941826,48.94768783,48.6394912,48.30029581,47.97665796,47.64539269,47.33821587,47.1215032,46.95901922,46.87291687,46.77468211,46.6865704,46.6438076,46.65166793,46.67867468,46.75194176,46.8083514,46.79224208,
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,,4.151819377,4.269355546,4.391231916,4.518588338,4.652301622,4.793818501,4.940464708,5.088163086,5.228452433,5.356510302,5.470977641,5.574309513,5.668303376,5.756554143,5.842174485,5.924901359,6.005655414,6.092284086,6.194870671,6.31981587,6.469355546,6.641823762,6.83130206,7.029679965,7.23020605,7.433932486,7.642262166,7.848662867,8.043358176,8.222358615,8.379044279,8.518939062,8.66356861,8.841473038,9.073345024,9.367645769,9.715300307,10.09574748,10.47900044,10.84239369,11.17860587,11.49522139,11.79877247,12.10385796,12.4189829,12.74647085,13.08228847,13.42240246,13.76277948,14.09943007,14.43191583,14.76111355,15.08903989,15.41841298,15.75133713,16.0874178,16.42617273,
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,,842.5925777,862.9629477,883.3333177,905.5555396,927.7777614,944.4444278,962.962946,981.4814641,999.9999823,1018.518501,1011.111093,1003.703686,996.2962787,988.8888714,981.4814641,985.1851678,988.8888714,992.5925751,996.2962787,1012.40739,1019.444426,1026.833315,1035.740722,1044.870352,1053.666648,1062.629611,1071.277759,1080.499981,1089.648129,1098.62961,1092.981462,1085.092573,1090.925907,1098.518499,1106.407388,1113.49998,1120.314795,1128.574054,1134.907387,1145.055535,1157.481461,1165.037016,1172.685164,1180.37035,1188.037016,1194.870349,1201.629608,1208.759238,1215.48146,1205.999979,1195.629609,1199.962942,1203.722201,1206.277756,1208.129608,1210.018497,1211.870349,
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,,3.475318933,3.542967784,3.612475768,3.683981353,3.75758331,3.833349949,3.911312656,3.99156651,4.074208437,4.159307671,4.246830056,4.336825441,4.429529216,4.525217391,4.624071818,4.726145112,4.831235115,4.938910736,5.048576572,5.159766454,5.272407459,5.386487584,5.501670821,5.617553771,5.73391489,5.850542786,5.967628542,6.085836795,6.206079572,6.329035355,6.454833379,6.583316717,6.7145066,6.848390104,6.984873996,7.124012739,7.265628173,7.409077818,7.553505031,7.698247946,7.843049017,7.98794886,8.132945629,8.278169482,8.423713653,8.569495061,8.715447245,8.861677282,9.008352257,9.155582018,9.303372104,9.451679129,9.600539094,9.74998523,9.900032309,10.05066187,10.20179082,
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,,8.895730749,9.161517754,9.434397964,9.711329793,9.990024096,10.26996425,10.55155549,10.83459526,11.11910928,11.40526397,11.69266858,11.98156504,12.27357737,12.57090298,12.87512533,13.18631681,13.5039455,13.82815662,14.15896671,14.49601957,14.83953463,15.18847076,15.53962018,15.88878435,16.23283183,16.57060829,16.90250319,17.22889806,17.55079252,17.86906477,18.1830619,18.4926644,18.79995812,19.10773485,19.41779056,19.73086189,20.0457475,20.35986954,20.66957995,20.97208075,21.26677347,21.55396069,21.83286581,22.10281929,22.36351162,22.61417157,22.8551612,23.08875288,23.31810618,23.54546215,23.77163914,23.995887,24.21694683,24.43284427,24.64209836,24.84438703,25.04005413,
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,,538.7860465,540.8976744,543.2255814,545.4581395,547.3813953,548.9395349,550.2813953,551.6255814,553.2860465,555.4604651,558.2209302,561.4906977,565.0604651,568.6953488,572.172093,575.4511628,578.5674419,581.4697674,584.1325581,586.4976744,588.5581395,590.327907,591.9023256,593.472093,595.172093,597.0604651,599.0953488,601.2255814,603.3906977,605.5209302,607.6162791,609.7302326,611.8348837,613.9883721,616.1837209,618.4697674,620.8023256,623.1395349,625.4,627.5511628,629.5,631.344186,633.1581395,635.0953488,637.2302326,639.6255814,642.2093023,644.927907,647.6046512,650.1604651,652.5604651,654.8488372,656.9976744,659.0348837,660.9697674,662.7813953,664.4627907,
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,,16.24212524,16.98595825,17.75635674,18.56698292,19.43548387,20.36356736,21.34611006,22.38140417,23.46356736,24.58880455,25.7544592,26.95882353,28.18975332,29.43244782,30.67760911,31.92106262,33.16375712,34.39411765,35.60834915,36.80246679,37.96679317,39.11347249,40.25351044,41.40929791,42.60189753,43.82770398,45.08956357,46.38671727,47.7256167,49.10531309,50.52637571,51.98538899,53.46318786,54.93833017,56.39316888,57.81764706,59.21024668,60.57343454,61.91442125,63.23358634,64.53833017,65.81916509,67.05673624,68.22068311,69.28994307,70.25616698,71.1316888,71.96432638,72.82201139,73.74990512,74.76527514,75.85351044,76.98595825,78.12220114,79.22998102,80.3028463,81.34667932,
