country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Azerbaijan,2050000,2110000,2170000,2230000,2290000,2350000,2400000,2450000,2490000,2530000,2590000,2670000,2740000,2820000,2880000,2940000,3010000,3070000,3130000,3190000,3250000,3310000,3370000,3430000,3500000,3570000,3640000,3720000,3790000,3850000,3850000,3890000,3920000,3960000,3990000,4010000,4030000,4040000,4060000,4090000,4140000,4180000,4230000,4280000,4340000,4400000,4460000,4530000,4640000,4760000,4840000,4920000,5010000,5100000,5190000,5280000,5370000,5460000
Bahamas,65400,69600,74100,78900,83800,88700,93700,98800,104000,109000,113000,117000,121000,125000,128000,132000,136000,140000,145000,149000,154000,159000,164000,170000,175000,180000,185000,190000,195000,200000,205000,209000,214000,218000,223000,227000,230000,234000,237000,240000,244000,249000,254000,259000,265000,271000,276000,282000,287000,292000,297000,302000,307000,312000,316000,320000,324000,328000
Bahrain,134000,138000,143000,147000,151000,155000,159000,163000,167000,172000,178000,185000,193000,202000,213000,226000,242000,259000,277000,294000,310000,323000,334000,344000,354000,366000,379000,393000,408000,423000,437000,450000,462000,474000,486000,498000,511000,526000,542000,563000,587000,616000,650000,688000,734000,786000,848000,917000,987000,1050000,1100000,1130000,1150000,1170000,1190000,1220000,1270000,1330000
Bangladesh,2480000,2620000,2810000,3010000,3230000,3470000,3730000,4010000,4320000,4630000,4940000,5250000,5560000,5880000,6310000,7010000,7810000,8710000,9730000,10900000,12100000,13200000,13900000,14700000,15500000,16300000,17200000,18100000,19000000,20000000,21000000,22000000,22900000,23800000,24800000,25800000,26800000,27800000,28900000,29900000,31000000,32300000,33800000,35400000,36900000,38500000,40000000,41500000,43100000,44700000,46300000,48100000,49800000,51600000,53500000,55300000,57200000,59000000
Barbados,84900,85400,85900,86400,86900,87400,87800,88200,88600,89100,89700,90800,91900,93100,94400,95600,96800,98000,99100,100000,101000,101000,100000,100000,99500,99100,98800,98400,98000,97700,97300,96700,96100,95500,94800,94200,93600,93000,92500,91800,91300,91000,90800,90500,90200,90000,89800,89600,89500,89300,89100,89000,88800,88800,88800,88800,88900,89000
Belarus,2660000,2770000,2900000,3020000,3150000,3280000,3420000,3550000,3690000,3830000,3980000,4130000,4290000,4450000,4600000,4740000,4880000,5020000,5170000,5310000,5450000,5590000,5730000,5880000,6030000,6170000,6310000,6460000,6580000,6670000,6720000,6770000,6820000,6880000,6910000,6920000,6940000,6950000,6950000,6970000,6980000,7000000,7000000,7000000,6990000,6990000,6990000,7010000,7020000,7050000,7090000,7120000,7160000,7210000,7270000,7320000,7380000,7430000
Belgium,8460000,8500000,8550000,8620000,8720000,8810000,8890000,8950000,9000000,9040000,9060000,9090000,9140000,9180000,9220000,9260000,9290000,9320000,9350000,9380000,9400000,9420000,9430000,9440000,9440000,9460000,9470000,9490000,9530000,9570000,9610000,9650000,9700000,9740000,9780000,9810000,9840000,9870000,9900000,9930000,9960000,10000000,10000000,10100000,10100000,10200000,10300000,10400000,10400000,10500000,10600000,10800000,10900000,10900000,11000000,11000000,11100000,11100000
Belize,49700,50900,52000,53200,54400,55700,57000,58400,59800,61100,62300,63400,64400,65300,66100,66900,67600,68300,69100,70000,71200,72600,74200,76000,77900,79900,81800,83700,85700,87400,89000,90300,91400,92600,94100,96100,98700,102000,105000,109000,112000,116000,119000,122000,125000,128000,132000,135000,139000,142000,145000,149000,152000,156000,159000,163000,167000,171000
Benin,226000,243000,262000,283000,305000,330000,356000,385000,416000,450000,486000,525000,568000,613000,662000,715000,772000,834000,900000,965000,1020000,1070000,1130000,1190000,1250000,1320000,1390000,1460000,1540000,1630000,1720000,1820000,1910000,2000000,2080000,2170000,2260000,2350000,2440000,2530000,2630000,2740000,2850000,2970000,3100000,3240000,3370000,3510000,3660000,3810000,3960000,4130000,4290000,4470000,4650000,4830000,5030000,5230000
Bhutan,8030,8680,9390,10200,11000,11900,13000,14100,15300,16700,18200,19800,21500,23300,25400,27600,30000,32500,35300,38300,41500,44800,48200,51900,56000,60500,65600,71300,77200,83000,88000,92200,95500,98300,101000,106000,111000,118000,127000,136000,146000,156000,167000,179000,191000,203000,213000,223000,233000,243000,253000,264000,274000,284000,294000,305000,315000,324000
