country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Georgia,1570000,1610000,1660000,1700000,1740000,1790000,1830000,1860000,1900000,1940000,1980000,2020000,2060000,2100000,2130000,2170000,2210000,2240000,2280000,2310000,2350000,2380000,2420000,2450000,2490000,2530000,2570000,2600000,2640000,2660000,2640000,2650000,2660000,2670000,2630000,2550000,2470000,2420000,2380000,2350000,2330000,2300000,2280000,2270000,2260000,2250000,2230000,2220000,2210000,2190000,2180000,2170000,2150000,2140000,2130000,2140000,2150000,2160000
Germany,52000000,52600000,53100000,53700000,54100000,54700000,55200000,55500000,55800000,56300000,56500000,56600000,57000000,57200000,57300000,57100000,56900000,56800000,56800000,56900000,57000000,57200000,57300000,57100000,56800000,56500000,56400000,56700000,57000000,57500000,58100000,58600000,59100000,59600000,60000000,60400000,60700000,61000000,61200000,61400000,61600000,61900000,62200000,62400000,62500000,62700000,62800000,62800000,62900000,62900000,62900000,61900000,62100000,62200000,62500000,63100000,63600000,63900000
Ghana,1550000,1630000,1730000,1820000,1910000,2010000,2100000,2200000,2290000,2390000,2490000,2580000,2670000,2770000,2860000,2950000,3030000,3110000,3180000,3260000,3370000,3490000,3630000,3790000,3970000,4180000,4400000,4620000,4850000,5080000,5330000,5590000,5860000,6140000,6430000,6730000,7030000,7330000,7650000,7980000,8320000,8660000,9020000,9400000,9790000,10200000,10600000,11000000,11500000,12000000,12400000,12900000,13400000,13900000,14400000,14900000,15400000,16000000
Greece,4660000,4740000,4840000,4940000,5030000,5130000,5240000,5360000,5470000,5560000,5650000,5740000,5820000,5890000,5960000,6060000,6200000,6320000,6450000,6580000,6690000,6790000,6850000,6910000,6960000,7010000,7050000,7090000,7140000,7190000,7290000,7390000,7460000,7520000,7570000,7620000,7660000,7710000,7770000,7810000,7860000,7920000,7990000,8050000,8110000,8180000,8250000,8310000,8370000,8430000,8480000,8510000,8510000,8480000,8460000,8450000,8450000,8470000
Grenada,27300,27900,28400,28800,29200,29600,29900,30100,30200,30300,30400,30400,30400,30400,30300,30100,29800,29500,29200,29100,29300,29900,30700,31800,32600,33100,33300,33100,32700,32300,32200,32300,32800,33400,34000,34600,35000,35400,35700,36000,36300,36600,36700,36800,36900,37000,37100,37200,37300,37400,37500,37700,37800,38000,38200,38500,38700,39000
Guatemala,1310000,1380000,1450000,1520000,1590000,1660000,1720000,1790000,1850000,1930000,2000000,2070000,2150000,2230000,2310000,2390000,2470000,2550000,2640000,2730000,2820000,2920000,3010000,3120000,3220000,3320000,3430000,3540000,3650000,3770000,3890000,4010000,4140000,4270000,4410000,4540000,4680000,4830000,4970000,5120000,5280000,5450000,5620000,5790000,5970000,6140000,6320000,6510000,6700000,6890000,7080000,7280000,7480000,7690000,7900000,8120000,8340000,8570000
Guinea,375000,397000,421000,447000,474000,503000,535000,568000,603000,639000,674000,710000,745000,780000,815000,852000,889000,928000,969000,1010000,1070000,1120000,1190000,1250000,1300000,1350000,1410000,1460000,1530000,1600000,1690000,1800000,1930000,2070000,2200000,2320000,2420000,2510000,2580000,2650000,2720000,2790000,2870000,2950000,3030000,3120000,3220000,3310000,3420000,3520000,3640000,3750000,3860000,3990000,4110000,4250000,4400000,4550000
Guinea-Bissau,83800,85700,87500,89400,91400,93600,96100,98700,102000,105000,108000,111000,115000,118000,121000,124000,126000,128000,130000,133000,143000,154000,167000,181000,197000,213000,231000,249000,269000,290000,312000,336000,354000,366000,379000,391000,403000,414000,426000,438000,451000,464000,479000,494000,510000,527000,545000,563000,582000,603000,624000,647000,670000,695000,720000,746000,772000,799000
Guyana,166000,171000,176000,181000,186000,190000,194000,198000,201000,204000,207000,211000,214000,217000,220000,224000,227000,230000,233000,236000,238000,238000,237000,235000,234000,231000,229000,226000,223000,221000,220000,220000,220000,221000,222000,222000,221000,220000,219000,217000,216000,215000,214000,213000,211000,209000,207000,204000,202000,200000,199000,198000,199000,200000,202000,203000,205000,206000
Haiti,603000,630000,658000,688000,719000,751000,784000,819000,855000,893000,931000,969000,991000,1010000,1030000,1050000,1070000,1090000,1120000,1140000,1170000,1200000,1230000,1300000,1390000,1490000,1580000,1690000,1790000,1910000,2020000,2150000,2280000,2360000,2450000,2550000,2640000,2740000,2840000,2940000,3040000,3240000,3440000,3650000,3800000,3950000,4100000,4260000,4420000,4580000,4750000,4920000,5090000,5260000,5440000,5620000,5790000,5970000
Honduras,464000,489000,515000,543000,572000,603000,636000,670000,707000,745000,785000,827000,872000,918000,966000,1010000,1060000,1110000,1170000,1220000,1280000,1340000,1410000,1470000,1540000,1620000,1690000,1770000,1850000,1920000,2000000,2090000,2180000,2260000,2360000,2450000,2550000,2650000,2750000,2860000,2970000,3080000,3200000,3320000,3450000,3580000,3710000,3850000,3980000,4120000,4250000,4390000,4530000,4660000,4800000,4940000,5090000,5230000
Hungary,5580000,5650000,5710000,5770000,5830000,5890000,5950000,6010000,6080000,6150000,6210000,6280000,6340000,6400000,6480000,6560000,6640000,6720000,6780000,6840000,6880000,6900000,6910000,6920000,6930000,6930000,6940000,6950000,6950000,6900000,6830000,6820000,6800000,6780000,6760000,6740000,6710000,6680000,6660000,6620000,6590000,6590000,6610000,6630000,6660000,6690000,6740000,6780000,6820000,6860000,6890000,6920000,6910000,6920000,6930000,6940000,6950000,6950000
Iceland,141000,145000,148000,152000,155000,159000,163000,166000,169000,172000,174000,176000,179000,183000,186000,189000,192000,194000,196000,199000,201000,204000,208000,211000,214000,216000,218000,221000,226000,229000,231000,234000,238000,241000,243000,245000,247000,249000,252000,256000,260000,264000,266000,269000,271000,276000,283000,291000,296000,298000,298000,299000,300000,303000,307000,310000,314000,320000
India,80600000,82700000,85200000,87900000,90600000,93500000,96400000,99500000,103000000,106000000,109000000,113000000,118000000,122000000,127000000,133000000,138000000,143000000,149000000,155000000,161000000,167000000,173000000,178000000,184000000,190000000,196000000,203000000,209000000,216000000,222000000,229000000,235000000,242000000,249000000,256000000,263000000,270000000,277000000,284000000,291000000,299000000,308000000,317000000,325000000,334000000,344000000,353000000,362000000,371000000,381000000,390000000,400000000,409000000,419000000,429000000,439000000,450000000
Indonesia,12800000,13400000,13900000,14500000,15200000,15800000,16500000,17300000,18000000,18800000,19600000,20400000,21500000,22700000,24000000,25300000,26600000,28000000,29500000,31000000,32600000,34400000,36500000,38600000,40800000,43100000,45400000,47800000,50300000,52800000,55500000,58400000,61400000,64500000,67800000,71100000,74400000,77900000,81400000,85100000,88900000,91800000,94800000,97800000,101000000,104000000,107000000,111000000,114000000,118000000,121000000,124000000,128000000,131000000,134000000,138000000,141000000,144000000
Iran,7390000,7730000,8090000,8460000,8850000,9250000,9670000,10100000,10700000,11200000,11800000,12300000,12900000,13600000,14300000,15000000,15700000,16500000,17300000,18200000,19200000,20300000,21400000,22700000,23900000,25300000,26700000,28000000,29300000,30600000,31700000,32600000,33600000,34500000,35500000,36500000,37600000,38800000,40000000,41200000,42400000,43500000,44500000,45500000,46600000,47600000,48600000,49600000,50600000,51600000,52700000,53800000,54900000,56000000,57100000,58200000,59300000,60400000
Iraq,3130000,3320000,3530000,3750000,3990000,4240000,4490000,4740000,5000000,5280000,5570000,5870000,6180000,6500000,6830000,7170000,7530000,7900000,8250000,8600000,8950000,9300000,9650000,10000000,10400000,10700000,11100000,11400000,11700000,11900000,12200000,12500000,12800000,13100000,13500000,13900000,14300000,14700000,15200000,15700000,16100000,16600000,17100000,17600000,18100000,18600000,19100000,19600000,20100000,20600000,21300000,22000000,22800000,23600000,24400000,25300000,26100000,26900000
Ireland,1280000,1280000,1290000,1310000,1320000,1330000,1350000,1390000,1430000,1470000,1520000,1560000,1600000,1630000,1670000,1710000,1750000,1780000,1820000,1860000,1890000,1920000,1940000,1960000,1980000,1990000,2000000,2000000,2000000,1990000,2000000,2020000,2040000,2060000,2070000,2090000,2120000,2150000,2180000,2210000,2250000,2300000,2350000,2390000,2450000,2520000,2600000,2680000,2740000,2780000,2810000,2830000,2850000,2870000,2900000,2940000,2980000,3030000
Israel,1620000,1700000,1810000,1890000,1990000,2070000,2150000,2260000,2330000,2400000,2500000,2600000,2690000,2810000,2910000,2990000,3080000,3160000,3240000,3340000,3440000,3520000,3600000,3680000,3730000,3800000,3870000,3930000,4000000,4080000,4210000,4480000,4640000,4770000,4900000,5040000,5180000,5310000,5440000,5580000,5740000,5880000,6000000,6110000,6230000,6340000,6460000,6580000,6700000,6870000,7000000,7140000,7270000,7420000,7570000,7720000,7880000,8040000
Italy,29800000,30200000,30700000,31200000,31700000,32200000,32700000,33200000,33700000,34200000,34600000,35000000,35400000,35700000,36100000,36400000,36700000,37000000,37200000,37400000,37600000,37800000,37800000,37800000,37800000,37800000,37800000,37800000,37800000,37800000,37800000,37900000,37900000,38000000,38000000,38000000,38100000,38100000,38200000,38200000,38300000,38300000,38400000,38700000,39000000,39300000,39500000,39700000,40100000,40300000,40500000,40600000,40900000,41500000,42100000,42200000,42400000,42500000
Jamaica,550000,570000,591000,613000,636000,659000,681000,704000,727000,751000,775000,797000,820000,844000,869000,892000,916000,938000,961000,985000,1010000,1040000,1070000,1090000,1110000,1130000,1150000,1160000,1170000,1190000,1200000,1210000,1230000,1250000,1270000,1280000,1300000,1320000,1340000,1360000,1380000,1390000,1410000,1420000,1440000,1450000,1460000,1480000,1490000,1500000,1510000,1530000,1540000,1550000,1560000,1570000,1590000,1600000
Japan,58500000,61000000,62400000,64000000,65500000,67100000,68600000,70000000,71100000,73400000,75000000,76800000,78700000,80200000,82600000,84800000,85600000,86500000,87400000,88200000,89000000,89700000,90500000,91200000,91900000,92600000,93300000,94000000,94500000,95100000,95500000,96000000,96400000,96800000,97300000,97900000,98300000,98700000,99100000,99400000,99800000,102000000,104000000,106000000,108000000,110000000,111000000,113000000,114000000,115000000,116000000,116000000,116000000,116000000,116000000,116000000,116000000,116000000
Jordan,474000,510000,537000,562000,594000,636000,691000,757000,829000,899000,962000,1020000,1070000,1110000,1150000,1190000,1230000,1270000,1310000,1360000,1430000,1510000,1610000,1710000,1830000,1940000,2060000,2180000,2310000,2450000,2610000,2790000,3000000,3210000,3420000,3580000,3690000,3780000,3860000,3920000,3990000,4070000,4140000,4230000,4340000,4540000,4800000,5100000,5430000,5790000,6180000,6600000,7050000,7500000,7930000,8270000,8560000,8800000
Kazakhstan,4290000,4530000,4770000,5000000,5230000,5450000,5660000,5860000,6050000,6230000,6410000,6580000,6760000,6930000,7100000,7230000,7350000,7470000,7580000,7710000,7860000,8010000,8170000,8340000,8500000,8630000,8760000,8890000,9000000,9160000,9200000,9240000,9220000,9140000,9000000,8840000,8710000,8580000,8440000,8360000,8350000,8350000,8360000,8400000,8470000,8550000,8650000,8770000,8880000,9130000,9280000,9420000,9570000,9720000,9870000,10000000,10200000,10300000
Kenya,597000,633000,671000,716000,765000,818000,874000,935000,1000000,1070000,1160000,1260000,1360000,1480000,1610000,1740000,1890000,2050000,2220000,2410000,2540000,2650000,2770000,2900000,3030000,3160000,3300000,3440000,3580000,3730000,3920000,4120000,4330000,4540000,4770000,4990000,5230000,5470000,5720000,5980000,6260000,6540000,6840000,7150000,7470000,7810000,8170000,8540000,8930000,9330000,9750000,10200000,10600000,11100000,11600000,12100000,12700000,13200000
Kiribati,6720,7150,7610,8090,8590,9120,9660,10200,10800,11500,12300,13200,14100,15000,15700,16300,16900,17600,18200,18700,19200,19600,20000,20400,20900,21500,22200,22900,23800,24600,25300,26000,26600,27100,27700,28300,29500,31100,32700,34500,36300,37300,38000,38700,39400,40200,41500,43200,45000,46800,48600,50500,52300,54200,56100,58000,60000,62000
Kuwait,202000,228000,259000,294000,333000,375000,424000,475000,529000,585000,640000,693000,745000,799000,855000,916000,988000,1060000,1140000,1220000,1300000,1380000,1460000,1530000,1620000,1700000,1800000,1900000,2000000,2050000,2060000,1990000,,,,1580000,1600000,1690000,1810000,1930000,2030000,2110000,2140000,2170000,2210000,2280000,2380000,2500000,2650000,2820000,3000000,3190000,3400000,3600000,3780000,3940000,4050000,4140000
Kyrgyz Republic,743000,779000,813000,849000,886000,923000,961000,1000000,1040000,1080000,1110000,1140000,1170000,1200000,1230000,1260000,1290000,1320000,1350000,1370000,1400000,1420000,1450000,1480000,1500000,1530000,1560000,1590000,1610000,1640000,1660000,1670000,1680000,1670000,1650000,1660000,1670000,1680000,1690000,1710000,1730000,1750000,1760000,1780000,1800000,1820000,1840000,1860000,1880000,1900000,1920000,1950000,1990000,2030000,2080000,2130000,2190000,2240000
Lao,169000,174000,180000,186000,192000,198000,205000,217000,230000,244000,259000,275000,292000,309000,324000,338000,351000,363000,375000,388000,403000,420000,440000,461000,484000,509000,536000,564000,594000,625000,657000,691000,726000,762000,799000,843000,904000,967000,1030000,1100000,1170000,1240000,1320000,1400000,1490000,1560000,1620000,1680000,1750000,1810000,1880000,1940000,2010000,2070000,2140000,2210000,2280000,2360000
Latvia,1120000,1160000,1190000,1220000,1260000,1290000,1320000,1340000,1380000,1400000,1430000,1460000,1490000,1520000,1550000,1580000,1600000,1630000,1650000,1670000,1690000,1700000,1710000,1730000,1750000,1770000,1790000,1810000,1830000,1850000,1840000,1830000,1800000,1760000,1740000,1710000,1690000,1670000,1650000,1630000,1610000,1590000,1570000,1550000,1540000,1520000,1510000,1490000,1480000,1450000,1420000,1400000,1380000,1370000,1350000,1340000,1330000,1320000
Lebanon,764000,821000,881000,942000,1000000,1070000,1130000,1180000,1240000,1300000,1370000,1440000,1510000,1590000,1660000,1730000,1780000,1820000,1850000,1880000,1920000,1960000,2000000,2050000,2090000,2130000,2150000,2180000,2200000,2220000,2250000,2300000,2370000,2440000,2510000,2570000,2610000,2640000,2670000,2710000,2780000,2890000,3040000,3200000,3340000,3450000,3520000,3550000,3580000,3650000,3790000,4010000,4310000,4630000,4930000,5160000,5300000,5380000
Lesotho,29900,34300,39400,45200,51800,59400,67300,72100,77400,82900,88900,95300,102000,109000,116000,125000,132000,136000,141000,145000,150000,155000,159000,164000,169000,173000,179000,189000,200000,212000,224000,237000,252000,267000,283000,299000,314000,327000,339000,352000,365000,378000,392000,405000,419000,434000,449000,462000,476000,491000,506000,522000,537000,553000,569000,585000,602000,619000
Liberia,209000,221000,234000,247000,262000,277000,293000,310000,329000,348000,369000,391000,414000,439000,465000,494000,524000,555000,588000,624000,664000,708000,755000,803000,860000,929000,990000,1040000,1090000,1130000,1160000,1190000,1110000,1040000,986000,953000,941000,1020000,1110000,1200000,1280000,1340000,1380000,1410000,1450000,1500000,1570000,1640000,1720000,1810000,1890000,1960000,2030000,2100000,2170000,2240000,2320000,2400000
Libya,396000,422000,451000,482000,516000,584000,662000,749000,844000,947000,1060000,1180000,1310000,1450000,1550000,1660000,1770000,1890000,2000000,2130000,2260000,2390000,2530000,2680000,2820000,2920000,3020000,3110000,3190000,3280000,3360000,3440000,3530000,3610000,3690000,3760000,3830000,3890000,3960000,4020000,4090000,4160000,4240000,4310000,4390000,4470000,4540000,4620000,4700000,4760000,4820000,4850000,4870000,4880000,4900000,4940000,5010000,5090000
Liechtenstein,3370,3430,3480,3520,3580,3630,3690,3750,3820,3870,3920,3990,4070,4140,4210,4290,4380,4470,4570,4650,4730,4770,4780,4790,4800,4800,4810,4820,4830,4850,4870,4900,4940,4980,5030,5080,5100,5090,5080,5060,5040,5040,5070,5100,5120,5140,5150,5170,5180,5190,5210,5230,5250,5280,5310,5350,5390,5430
Lithuania,1100000,1140000,1190000,1230000,1280000,1320000,1370000,1420000,1460000,1510000,1560000,1610000,1670000,1730000,1780000,1840000,1890000,1950000,2010000,2050000,2090000,2130000,2170000,2210000,2260000,2310000,2350000,2410000,2460000,2490000,2500000,2500000,2500000,2480000,2460000,2440000,2420000,2400000,2380000,2360000,2340000,2320000,2300000,2280000,2250000,2210000,2180000,2160000,2140000,2110000,2070000,2020000,2000000,1980000,1970000,1950000,1930000,1910000
Luxembourg,218000,222000,226000,230000,234000,239000,242000,244000,247000,249000,252000,257000,262000,267000,272000,277000,281000,283000,286000,289000,291000,294000,294000,295000,295000,296000,297000,299000,302000,305000,309000,314000,320000,325000,332000,339000,343000,347000,352000,359000,367000,375000,381000,387000,395000,403000,411000,420000,429000,439000,449000,461000,474000,487000,500000,514000,526000,544000
"Macedonia, FYR",506000,531000,557000,584000,613000,643000,674000,708000,742000,776000,810000,839000,857000,874000,892000,912000,934000,958000,982000,1010000,1030000,1050000,1060000,1080000,1090000,1100000,1120000,1130000,1140000,1150000,1150000,1160000,1170000,1180000,1180000,1180000,1180000,1180000,1190000,1190000,1190000,1190000,1190000,1190000,1190000,1190000,1180000,1180000,1180000,1180000,1180000,1180000,1180000,1190000,1190000,1190000,1200000,1200000
Madagascar,543000,573000,605000,640000,676000,714000,754000,794000,836000,880000,927000,982000,1040000,1100000,1170000,1230000,1300000,1370000,1450000,1530000,1610000,1700000,1800000,1900000,2000000,2110000,2220000,2340000,2460000,2590000,2730000,2880000,3040000,3200000,3340000,3480000,3620000,3780000,3940000,4100000,4280000,4450000,4640000,4830000,5020000,5280000,5560000,5840000,6130000,6440000,6760000,7080000,7430000,7780000,8150000,8530000,8930000,9340000
Malawi,159000,166000,174000,182000,190000,199000,209000,224000,241000,259000,279000,300000,323000,348000,376000,405000,437000,472000,501000,529000,558000,586000,615000,646000,685000,733000,793000,864000,944000,1020000,1090000,1150000,1190000,1230000,1260000,1310000,1380000,1450000,1540000,1600000,1660000,1720000,1780000,1840000,1900000,1960000,2030000,2110000,2190000,2270000,2360000,2450000,2550000,2650000,2750000,2870000,2990000,3110000
Malaysia,2170000,2290000,2420000,2560000,2710000,2850000,3000000,3140000,3300000,3450000,3610000,3790000,3980000,4170000,4370000,4580000,4800000,5040000,5280000,5540000,5800000,6050000,6310000,6570000,6850000,7160000,7490000,7840000,8210000,8590000,8980000,9370000,9850000,10400000,10900000,11400000,12000000,12600000,13200000,13800000,14400000,14900000,15500000,16000000,16500000,17100000,17600000,18200000,18800000,19300000,19900000,20500000,21100000,21700000,22200000,22800000,23300000,23900000
Maldives,10000,10400,10700,11100,11400,11800,12000,12200,12700,13200,13800,15300,17100,19100,21300,23600,26200,28900,31200,33100,35200,37500,40100,42800,45700,48300,50200,52100,54000,55900,57700,59200,60700,62200,63600,65100,67400,69700,72000,74500,77700,82800,88400,94400,101000,108000,114000,118000,123000,128000,133000,138000,144000,150000,156000,161000,167000,172000
Mali,582000,605000,628000,651000,676000,702000,729000,757000,787000,819000,852000,888000,927000,967000,1010000,1050000,1100000,1150000,1200000,1250000,1310000,1370000,1440000,1510000,1580000,1650000,1710000,1780000,1840000,1900000,1970000,2060000,2140000,2240000,2340000,2450000,2560000,2670000,2800000,2950000,3110000,3280000,3470000,3670000,3880000,4100000,4340000,4600000,4860000,5140000,5430000,5720000,6020000,6330000,6650000,6990000,7340000,7710000
Malta,294000,293000,292000,290000,289000,286000,283000,279000,276000,273000,271000,272000,271000,271000,271000,273000,274000,276000,278000,281000,284000,286000,293000,297000,297000,302000,308000,310000,313000,317000,320000,329000,333000,337000,340000,343000,346000,350000,354000,357000,360000,364000,368000,371000,375000,378000,380000,382000,385000,388000,390000,392000,396000,402000,410000,420000,430000,440000
Marshall Islands,5220,5560,5960,6410,6890,7370,7870,8380,9140,9980,10900,12000,13100,14300,15000,15500,16000,16400,16800,17300,17800,18800,19900,21100,22400,23700,25200,26800,28300,29600,30800,31700,32500,33100,33600,34000,34500,34800,35200,35400,35800,36100,36300,36500,36800,37000,37300,37600,37900,38200,38600,38900,39200,39600,39900,40200,40500,40700
Mauritania,59000,65700,73000,81200,90200,100000,111000,123000,137000,151000,167000,185000,204000,225000,248000,273000,300000,328000,357000,387000,420000,455000,492000,532000,575000,619000,667000,717000,761000,779000,798000,817000,837000,857000,878000,901000,925000,951000,977000,1000000,1030000,1080000,1130000,1190000,1250000,1320000,1380000,1450000,1530000,1600000,1680000,1770000,1850000,1950000,2040000,2140000,2230000,2330000
Mauritius,232000,244000,256000,268000,280000,292000,304000,316000,328000,340000,352000,364000,376000,379000,383000,388000,392000,396000,399000,404000,409000,413000,416000,418000,425000,432000,438000,445000,451000,458000,465000,469000,473000,478000,483000,486000,489000,494000,498000,503000,506000,509000,511000,514000,516000,517000,518000,519000,520000,520000,520000,519000,519000,519000,518000,518000,517000,516000
Mexico,19400000,20300000,21300000,22300000,23400000,24500000,25700000,26800000,28100000,29400000,30700000,32100000,33600000,35100000,36600000,38200000,39800000,41300000,42900000,44400000,46000000,47500000,48900000,50400000,51900000,53300000,54800000,56300000,57800000,59400000,61000000,62500000,64100000,65800000,67400000,69000000,70500000,71900000,73300000,74700000,76000000,77300000,78600000,80000000,81300000,82800000,84300000,86000000,87800000,89500000,91300000,93000000,94700000,96400000,98100000,99800000,101000000,103000000
"Micronesia, Fed. Sts.",9940,10400,10800,11300,11800,12300,12900,13500,14200,14800,15200,15600,15800,15900,16100,16300,16700,17200,17900,18600,19300,19900,20600,21200,21800,22400,22900,23400,23900,24400,24900,25400,26000,26600,27100,27000,26500,25900,25200,24500,24000,23900,23900,23900,23800,23700,23600,23400,23300,23200,23100,23100,23100,23200,23300,23500,23600,23900
Moldova,596000,631000,667000,704000,741000,779000,817000,856000,896000,936000,976000,1020000,1060000,1100000,1140000,1180000,1220000,1260000,1300000,1330000,1370000,1410000,1450000,1490000,1540000,1580000,1620000,1660000,1700000,1720000,1730000,1730000,1730000,1720000,1710000,1700000,1690000,1670000,1660000,1640000,1620000,1600000,1590000,1570000,1550000,1540000,1530000,1530000,1520000,1520000,1520000,1520000,1510000,1510000,1510000,1510000,1510000,1510000
Monaco,22500,22800,23000,23200,23200,23300,23300,23300,23300,23300,23500,23700,24100,24400,24800,25200,25500,25800,26100,26400,26700,27200,27600,28100,28500,28800,29000,29200,29200,29300,29400,29600,29900,30100,30400,30700,31000,31300,31500,31800,32100,32400,32600,32900,33300,33800,34400,35100,35900,36500,37100,37500,37800,38000,38100,38300,38500,38700
Mongolia,341000,370000,402000,428000,447000,466000,486000,507000,528000,551000,576000,603000,631000,660000,689000,720000,751000,783000,815000,848000,880000,913000,947000,982000,1020000,1060000,1100000,1140000,1190000,1220000,1250000,1260000,1280000,1290000,1300000,1310000,1310000,1320000,1330000,1350000,1370000,1410000,1450000,1490000,1530000,1580000,1630000,1670000,1720000,1780000,1830000,1880000,1910000,1950000,1990000,2030000,2070000,2100000
Montenegro,90300,95800,102000,108000,114000,119000,123000,127000,130000,133000,138000,143000,150000,157000,165000,173000,180000,188000,195000,203000,211000,220000,229000,238000,248000,256000,264000,271000,278000,284000,291000,298000,306000,313000,320000,326000,332000,338000,343000,349000,354000,362000,369000,377000,381000,384000,386000,389000,392000,395000,397000,400000,402000,405000,407000,409000,412000,414000
Morocco,3620000,3790000,3970000,4160000,4340000,4530000,4720000,4920000,5110000,5310000,5520000,5720000,5960000,6200000,6450000,6710000,6990000,7290000,7590000,7920000,8250000,8600000,8960000,9330000,9710000,10100000,10500000,10900000,11200000,11600000,12000000,12400000,12900000,13300000,13700000,14000000,14300000,14600000,14800000,15100000,15400000,15700000,15900000,16200000,16500000,16800000,17200000,17600000,18000000,18400000,18800000,19200000,19700000,20200000,20700000,21200000,21600000,22100000
Mozambique,507000,532000,558000,585000,614000,645000,677000,711000,746000,784000,824000,872000,928000,988000,1050000,1120000,1200000,1280000,1370000,1460000,1560000,1700000,1870000,2030000,2210000,2380000,2550000,2710000,2880000,3070000,3310000,3460000,3660000,3880000,4110000,4330000,4550000,4770000,4930000,5090000,5260000,5440000,5640000,5840000,6060000,6280000,6500000,6740000,7040000,7370000,7710000,8060000,8430000,8820000,9220000,9640000,10100000,10500000
Myanmar,4030000,4190000,4360000,4530000,4710000,4910000,5110000,5320000,5550000,5780000,6020000,6270000,6530000,6780000,6940000,7110000,7280000,7460000,7630000,7810000,8000000,8190000,8380000,8580000,8830000,9080000,9320000,9560000,9800000,10000000,10300000,10500000,10700000,10900000,11100000,11300000,11500000,11800000,12000000,12200000,12500000,12700000,12900000,13100000,13300000,13500000,13700000,13900000,14100000,14300000,14500000,14700000,14900000,15200000,15400000,15600000,15900000,16200000
Namibia,108000,113000,119000,124000,130000,137000,143000,150000,158000,166000,174000,181000,189000,198000,206000,214000,222000,230000,238000,246000,254000,262000,271000,280000,290000,303000,318000,335000,354000,373000,391000,409000,429000,450000,471000,494000,517000,542000,567000,592000,615000,636000,663000,690000,717000,744000,773000,803000,834000,868000,904000,945000,989000,1040000,1090000,1140000,1190000,1240000
Nauru,4430,4680,4950,5230,5500,5740,5930,6100,6240,6370,6500,6620,6740,6860,6970,7070,7150,7230,7310,7400,7490,7590,7720,7850,8000,8170,8350,8550,8760,8950,9160,9350,9550,9720,9860,9970,10000,10100,10000,10000,10000,10100,10100,10100,10100,10100,10100,10000,9950,9940,10000,10100,10300,10800,11900,12500,13000,13600
Nepal,350000,365000,375000,385000,396000,408000,420000,433000,446000,460000,475000,490000,525000,562000,601000,644000,689000,738000,791000,847000,908000,972000,1030000,1100000,1160000,1240000,1310000,1390000,1470000,1560000,1660000,1770000,1890000,2030000,2180000,2330000,2490000,2650000,2820000,3000000,3180000,3370000,3500000,3630000,3760000,3880000,4010000,4140000,4260000,4390000,4530000,4680000,4830000,4990000,5150000,5320000,5490000,5670000
Netherlands,6860000,6990000,7110000,7230000,7350000,7470000,7590000,7700000,7800000,7920000,8040000,8170000,8290000,8410000,8520000,8630000,8750000,8840000,8940000,9050000,9160000,9280000,9380000,9470000,9570000,9670000,9780000,9900000,10000000,10100000,10300000,10400000,10700000,10900000,11100000,11300000,11400000,11600000,11800000,12000000,12200000,12500000,12800000,13000000,13300000,13500000,13700000,13800000,14000000,14300000,14500000,14700000,14800000,15000000,15100000,15300000,15400000,15600000
New Zealand,1800000,1850000,1910000,1970000,2020000,2070000,2130000,2180000,2210000,2240000,2280000,2320000,2380000,2430000,2490000,2550000,2580000,2590000,2600000,2590000,2600000,2610000,2640000,2670000,2700000,2720000,2720000,2750000,2770000,2790000,2820000,2970000,3010000,3050000,3090000,3140000,3200000,3240000,3280000,3300000,3320000,3340000,3400000,3470000,3530000,3570000,3620000,3650000,3680000,3710000,3750000,3770000,3800000,3830000,3890000,3970000,4050000,4150000
Nicaragua,702000,733000,764000,797000,838000,881000,926000,973000,1020000,1070000,1130000,1180000,1230000,1270000,1320000,1370000,1420000,1470000,1520000,1580000,1630000,1690000,1750000,1800000,1860000,1920000,1970000,2030000,2080000,2140000,2200000,2260000,2320000,2390000,2450000,2510000,2570000,2620000,2670000,2720000,2770000,2820000,2870000,2920000,2960000,3010000,3060000,3110000,3160000,3210000,3270000,3320000,3370000,3420000,3470000,3520000,3570000,3620000
Niger,196000,206000,215000,231000,248000,266000,286000,311000,337000,366000,397000,430000,466000,505000,547000,592000,641000,694000,736000,770000,805000,842000,880000,920000,962000,1010000,1050000,1100000,1150000,1190000,1230000,1280000,1330000,1380000,1440000,1490000,1560000,1620000,1690000,1760000,1840000,1910000,1980000,2060000,2130000,2210000,2290000,2380000,2470000,2570000,2660000,2770000,2870000,2990000,3110000,3230000,3370000,3510000
Nigeria,6960000,7200000,7460000,7730000,8010000,8300000,8600000,8910000,9240000,9580000,9940000,10400000,10900000,11400000,11900000,12500000,13200000,13900000,14600000,15400000,16100000,17100000,18100000,19200000,20300000,21400000,22700000,24000000,25300000,26800000,28300000,29500000,30700000,32000000,33400000,34800000,36200000,37700000,39300000,40900000,42600000,44800000,47000000,49300000,51700000,54300000,57000000,59800000,62700000,65800000,68900000,72300000,75700000,79200000,82900000,86700000,90500000,94500000
